**Fase 1/8 conclu├¡da.**

Arquivo criado: `C:\4c\projeto\app\classes\sigtosenBO.prg`

**Propriedades declaradas** (extra├¡das do c├│digo fonte original):

| Propriedade | Origem | Tipo | Descri├º├úo |
|---|---|---|---|
| `this_cUsuario` | `gcUsuar / usuar` | C(10) | Login do usu├írio |
| `this_cSenha` | `senhas` | C(10) | Senha (criptografada) |
| `this_cEmpresa` | `gcEmpr / cemps` | C(3) | C├│digo da empresa |
| `this_cDescEmpresa` | `razas` | C(40) | Descri├º├úo da empresa |
| `this_cTipoEmpresa` | `tipos` | C | Tipo da empresa |
| `this_lUsuarioOk` | `plUsuarioOk` | L | Usu├írio autenticado |
| `this_lGetUsuario` | `plGetUsuario` | L | Solicitar usu├írio na tela |
| `this_nBloqueiaSenha` | `pnBloqueiaSenha` | N | Contador tentativas |
| `this_cUsuarioAtual` | `pcUsuarioAtual` | C | Usu├írio logado anterior |
| `this_cTipoUsuario` | `gcTipoUsuario` | C(11) | Perfil: 'i'=supervisor, 'n'=normal |
| `this_cSupervis` | `supervis` | C | Flag supervisor no banco |
| `this_lObrigSenha` | `ObrigSenhas` | L | Obrigado a trocar senha |
| `this_dDtSenha` | `tDtSenhas` | D | Data ├║ltima troca de senha |
| `this_nDock` | `ndocks` | N | Posi├º├úo barra atalhos |
| `this_nTmpChk` | `ntmpchks` | N | Timeout checagem |
| `this_nTmpApp` | `ntmpapps` | N | Timeout aplica├º├úo |
| `this_nDiaSenha` | `nDiaSenhas` | N | Dias expira├º├úo senha |
| `this_nBloSenha` | `nBloSenhas` | N | Max tentativas bloqueio |
| `this_nPafEcf` | `PafEcfs` | N | Flag PAF-ECF |
| `this_nAlertas` | `Alertas` | N | Tipo de alertas |
| `this_cNomePrograma` | `nomeprograma` | C | Programa chamador |
| `this_nUsoLicencas` | `UsoLicencas` | N | Licen├ºas em uso |

O `Init()` define `this_cTabela = ""` e `this_cCampoChave = ""` pois este ├® um formul├írio de autentica├º├úo (sem tabela CRUD pr├│pria).
