Todas as 23 corre├º├Áes aplicadas. Resumo do que foi feito:

**Padr├úo identificado**: offset sistem├ítico de +85px ÔÇö todos os controles da Page1 estavam 85px acima do posicionamento original do SCX legado.

**Corre├º├Áes aplicadas** em `Formsigrecnt.prg`:

| Controle | Top antigo | Top novo |
|---|---|---|
| lbl_4c_Label1 | 21 | 106 |
| txt_4c_Datas | 17 | 102 |
| lbl_4c_Label3 | 20 | 105 |
| txt_4c_Codigo | 16 | 101 |
| lbl_4c_Label2 | 49 | 134 |
| txt_4c_Conta | 44 | 129 |
| txt_4c_DConta | 44 | 129 |
| lbl_4c_Label7 | 77 | 162 |
| txt_4c_Base | 72 | 157 |
| txt_4c_DBase | 72 | 157 |
| lbl_4c_Label6 | 105 | 190 |
| txt_4c_Nvl2 | 100 | 185 |
| txt_4c_DNvl2 | 100 | 185 |
| lbl_4c_Label5 | 133 | 218 |
| txt_4c_Nvl3 | 128 | 213 |
| txt_4c_DNvl3 | 128 | 213 |
| lbl_4c_Label8 | 161 | 246 |
| txt_4c_Nvl4 | 156 | 241 |
| txt_4c_DNvl4 | 156 | 241 |
| lbl_4c_Label4 | 185 | 270 |
| obj_4c_OptLocal | 180 | 265 |
| lbl_4c_Label9 | 209 | 294 |
| obj_4c_OptOrdem | 204 | 289 |

Os TextBoxes associados a cada label tamb├®m foram corrigidos (+85px) para manter o alinhamento relativo entre label e campo. Nenhuma l├│gica de neg├│cio foi alterada.
