Arquivo criado corretamente. **Fase 1 conclu├¡da.**

`C:\4c\projeto\app\classes\SIGREHCPBO.prg` criado com:

| Propriedade | Tipo | Origem |
|---|---|---|
| `this_dDtInicial` | Date | `getDtInicial` - per├¡odo |
| `this_dDtFinal` | Date | `getDtFinal` - per├¡odo |
| `this_cCPros` | String | `getCPros` - c├│digo produto (14) |
| `this_cDPros` | String | `getDPros` - descri├º├úo produto (40) |
| `this_cCEmps` | String | `getCEmps` - c├│digo empresa (3) |
| `this_cDEmps` | String | `getDEmps` - descri├º├úo empresa (40) |
| `this_nTipoImps` | Numeric | `optTipImps` - 1=Padr├úo, 2=Modelo 3 |
| `this_nCalcCustos` | Numeric | Lido de `SigCdPaC.CalcCustos` - controla visibilidade dos campos empresa |

A Fase 2 adicionar├í `PrepararDados()` com a l├│gica SQL (leitura de `SigCdPaC`, montagem do WHERE e sele├º├úo entre `SigRehc1`/`SigRehc2`/`SigRehc3`).
