Todas as corre├º├Áes foram aplicadas corretamente. Resumo das altera├º├Áes feitas em `FormSigReIr1.prg`:

**28 controles corrigidos** em `ConfigurarPaginaLista()` ÔÇö todos com +80px no `Top`:

| Controle | Antes | Depois |
|---|---|---|
| `obj_4c_TipoRelatorio` | 4 | **84** |
| `obj_4c_TipoAnalitico` | 77 | **157** |
| `chk_4c_ChkImpImg` | 80 | **160** |
| `lbl_4c_Lbl_codigo` | 106 | **186** |
| `obj_4c_TipoDiferenca` | 157 | **237** |
| `lbl_4c_LblOrdem` | 162 | **242** |
| `obj_4c_TipoOrdem` | 156 | **236** |
| `obj_4c_TipoLeitura` | 181 | **261** |
| `lbl_4c_LblBarras` | 186 | **266** |
| `obj_4c_OptgBarras` | 180 | **260** |
| `obj_4c_OptgTpCusto` | 204 | **284** |
| `obj_4c_OptgTpVenda` | 204 | **284** |
| `lbl_4c_LblDescricao` | 234 | **314** |
| `obj_4c_OptgDescricao` | 228 | **308** |
| `lbl_4c_LblLocalizacao` | 234 | **314** |
| `obj_4c_OptgLocalizacao` | 228 | **308** |
| + 12 labels/textboxes/shape adjacentes | variados | +80 cada |

Tamb├®m foram corrigidos os controles adjacentes n├úo listados (`lbl_4c_Label1-7`, `txt_4c__cd_codigo`, `txt_4c__ds_codigo`, `txt_4c_Local`, `txt_4c__Dlocal`, `shp_4c_Shape3`) para manter consist├¬ncia visual ÔÇö todos tinham o mesmo offset de -80px. O coment├írio explicando o offset errado (`Top na Page = Top original - 80`) tamb├®m foi atualizado.
