**Fase 1/8 conclu├¡da.** `C:\4c\projeto\app\classes\SigPdMp1BO.prg` criado com:

| Propriedade | Tipo | Origem |
|---|---|---|
| `this_nNumPs` | N | `tmpnens.numps` ÔÇö n├║mero da opera├º├úo |
| `this_cEmps` | C | `tmpnens.emps` ÔÇö empresa |
| `this_cDOpPs` | C | `tmpnens.dopps` ÔÇö descri├º├úo da opera├º├úo |
| `this_cTitulo` | C | `ParentForm.ParentForm.Titulo` ÔÇö caption da col. 1 do grid |
| `this_lLiberaAlteracao` | L | flag que libera edi├º├úo das colunas 3/5/8 |
| `this_cEscolha` | C | `pcEscolha` do pai ("INSERIR" ou outro) |
| `this_nRecnoAnt` | N | `RecnoAnt` ÔÇö posi├º├úo de retorno em xNensi |
| `this_nTotPeso` | N | soma de `PsFaseAnt` exibida em getTotPeso |
| `this_nAntValue` | N | `AntValue` ÔÇö valor anterior antes de editar c├®lula |

`Init()` define tabela/chave vazias (form n├úo tem CRUD direto) e chama `DODEFAULT()` para BusinessBase inicializar flags de edi├º├úo. Fase 2 adicionar├í `CarregarDistrib()`, `CarregarResumo()` e `SalvarAlteracoes()`.
