**Fase 1/8 conclu├¡da.** `C:\4c\projeto\app\classes\SigPrAopBO.prg` criado com:

| Propriedade | Tipo | Origem |
|---|---|---|
| `this_cTabela` | C | `"SigOpPic"` |
| `this_cCampoChave` | C | `"Nops"` |
| `this_nNops` | N | N├║mero da O.P. (Get_OP.Value) |
| `this_cCodPds` | C | `SigPdMvf.CodPds` |
| `this_cEmpDNps` | C | Chave composta (empresa+DoppPads+Str(Nops,10)) |
| `this_cDoppPads` | C | `SigCdPam.DoppPads` |
| `this_cMascNums` | C | `SigCdPam.MascNums` |
| `this_cCursorDivOp` | C | Nome do cursor de trabalho (`cursor_4c_DivOp`) |

**Pr├│xima fase (Fase 2/8):** Completar o BO com `CarregarParametros()`, `CarregarDadosPorOP()` e `ConfirmarAlteracao()` ÔÇö os tr├¬s m├®todos principais extra├¡dos da l├│gica do `Valid` e do `Salva.Click` original.
