"BO","Tabela","Faltando","Colunas","LinhaAprox"
"CNFBO.prg","SIGMVNFI","LOCALS, NTRANS, SELOS, OBSFRETES, OBSPBRUS, OBSPLIQS, BCICMSS, CFOSUBS, DESICMS, DESIPIS, FRTICMS, FRTIPIS, ICMSS, SEGICMS, SEGIPIS, CODSERVS, DESCSERVS, CHKENVIAS, LOTERPS, NUMRPS, PCOFINS, PCSLL, PINSS, PIRF, PPIS, SERIERPS, TIPORPS, VCOFINS, VCSLL, VINSS, VIRF, VPIS, VALIIS, NFECHV, NFEPRT, NDIS, NFECHVC, CHNFES, CODBENEFS, CODSRVFIS, ISSRETIDOS, OUTRETENS, PRESTSERVS, TIPONFS, TPTRIBSERS, VDEDUCOES, VDSCCONDS, VDSCICONDS","57","574"
"CTABO.prg","SIGCDCLI","IDCONTAS, CCARGS, CONCILIAS, NCLIS, TRANSPS, GRUFALS, SUFRAMAS, MAXTRANSPS, COMCARGS, LIBTABCMVS, CCARTOES, CIDATRABS, ESTATRABS, IDCONTA, RENDAFAMS, SALARIOS","157","727"
"dmoBO.prg","SIGMVCAB","NPEDCLIS, ACRES, ANTECS, CHKSUBN, CODPEDS, CONTADS, CONTAOS, DESC2S, DESCS, DEVOLS, EMPDS, GRRESPS, GRUPODS, GRUPOOS, GRUPOS, GRVENDS, ICLIS, IFORS, LOCALS, LOTECHQS, LPRECOS, NCARNECS, NEMPS, NOPS, NOTAS, NRCONS, NTRANS, NUMOLDS, OPERS, RESPS, TABDS, TPFATS, TRANSPS, USUALS, USULIBS, VALACRES, VALDES2S, VALDESCS, VALDEVS, VALENCS, VALINIS, VALOS, VALSERVS, VALVARS, VARS, VENDS, COTUSUS, ESPES, QTDES, LCANCELAS, COFS, LIVROS, CHKBXPARCS, ECFS, CODOBS, DGOPES, TRFISICOS, UTILIZADOS, VALNDEVS, VALOBXS, NOFORMS, AUDITORS, CONTAES, LOCALENTS, LOCALIZAS, CHKPAGOS, CHKPGS, CODTRANS, EMPDNBXS, EMPDNCRDS, OBSAGENDS, OPERADORS, VCOMPENSAS, MOTDSCS, NDECLARAS, NUMBALDS, NUMBALS, PRIORS, PROCBALS, PROCDBAL, PROTATS, USUPAGOS, ULTGRVS, MOEITS, RNOPS, IMPRESS, PSTATUS, VALVARPS, CIFCCFS, CUPFIS, IDCONTA, NCUPOMS, STATUS, VALTRANS, IMPCPFS, CCFGNFS, FPUBLS, JOBS, PTAX1S, PTAX2S, PTAX3S, OBSCABMOVS, CODOBS2","11","359"
"dmoBO.prg","SIGMVITN","ETIESPS, FVALS, LOCALS, NTRANS, QTBAIXAS, QTBXPRODS, QTPRODS, VCOMS, ALIQICMS, VALDESCS, EMPOS, MOEVS, UTILIZAS, NCODIGOS, QTRESERVAS, NLOTES, BASEICMS, CHKSUBN, UNIT2S, USULIBS, VALRATS, CODLPRECS, CUNIPS, MOTDSCS, TIPOS, UNITINFS, CPRO2S, ABREVIS, BCICMSS, BCIPIS, ICMS, ICMSS, PDESCS, NCHVTBDS, IDPRO, UNITORIGS, ORIGMERCS, BASEICM2S, BASEICM3S, BASEIPI2S, BASEIPI3S, CFOPS, RATDACS, RATFRTS, RATICMDS, RATICMS, RATSEGS, SITTRICMS, ALIQIIS, CITEM2, TAXAIIS, VCOFINS, VPIS, ALIQORIGS, LCANCELAS, COMPRIS, CODFABS, NADIS, NIADIS, ALIQCOFS, ALIQPIS, CSSL, INSS, IRRF, ISS, VALBASES, LOCALOS","36","683"
"dmoBO.prg","SIGMVHST","CODCORS, CODTAMS, SQTDS, TEQTDS, TSQTDS, NUMOLDS, NTRANS, LOCALS, CODBARRAS, UNITMEDS, MOEDMEDS, RECALMEDS, AUDITORS, SPESOS, UNITMFIS, BCIPIS, MEDIPIS","24","738"
"dmoBO.prg","SIGCDNEC","CHKSUBN, GRVENDS, IMPRS, LCCS, PROCBALS, PROCDBAL, TOTPESOS, VENDS, DOCUS, LOCALS, NTRANS, NOPS, NACEITES, RETRABS, AUTOS, LIBPRODS, CODNCONFS, NUMBALDS, NUMBALS, CODOBS, EMPDS, NCONFORMS, NLOTES, JOBS","12","784"
"dmoBO.prg","SIGCDNEI","AQTDS, CATS, CDESCS, CGRUS, COEFS, CONTAFS, CUNIS, FATORS, FLAGINCS, GRUPOFINS, GRUPOFS, MOEDAS, MOEDS, NENVS, NOPS, OBSS, PESOS, SERVICOS, TPOPS, LOCALS, NTRANS, NLOTES, PESOFIXS, COEFINFS, CRETRABS, EMPDOPNUMS, CHKSUBN, CODCORS, CODNCONFS, CODTAMS, PESO2S, CUSTOFS, MOECUSFS, ESTORNO, PVENS","7","812"
"dmoBO.prg","SIGMVHST","CODCORS, CODTAMS, SQTDS, TEQTDS, TOTAS, TSQTDS, UNITS, MOEDAS, NUMOLDS, NTRANS, LOCALS, CODBARRAS, UNITMEDS, MOEDMEDS, RECALMEDS, AUDITORS, PESOS, SPESOS, UNITMFIS, BCIPIS, MEDIPIS","19","838"
"EVEBO.prg","SIGCDEVE","PKCHAVES, CONTACC, GRUPOCC","6","100"
"gpdBO.prg","SIGCDGRP","MARGEMS, TIPOESTOS, PMARGEMS, SUGESTAOS, NTIPOJOALS, PADMARGEMS","194","480"
