Todas as 7 corre├º├Áes aplicadas. Os m├®todos foram convertidos de `FUNCTION` para `PROCEDURE` (com os respectivos `ENDFUNC` ÔåÆ `ENDPROC`):

| M├®todo | Linha | Antes | Depois |
|--------|-------|-------|--------|
| `AbrirLookupGrupo` | 1710 | `FUNCTION` | `PROCEDURE` |
| `AbrirLookupGrupoDesc` | 1758 | `FUNCTION` | `PROCEDURE` |
| `AbrirLookupClasse` | 1810 | `FUNCTION` | `PROCEDURE` |
| `AbrirLookupClasseDesc` | 1852 | `FUNCTION` | `PROCEDURE` |
| `CalcularProximaOrdem` | 1952 | `PROTECTED FUNCTION` | `PROTECTED PROCEDURE` |
| `CalcularAltSubtot` | 1979 | `PROTECTED FUNCTION` | `PROTECTED PROCEDURE` |
| `ValidarCampos` | 2014 | `PROTECTED FUNCTION` | `PROTECTED PROCEDURE` |

Nenhuma l├│gica de neg├│cio foi alterada ÔÇö apenas as palavras-chave de declara├º├úo e seus terminadores.
