Fase 5 conclu├¡da. Adicionados 10 controles ├á `ConfigurarPaginaDados()` em `FormCVI.prg` (linhas 766ÔÇô867):

**Campos adicionados (primeira metade):**
| Controle | Tipo | Mapeado de |
|---|---|---|
| `lbl_4c_Usuars` | Label | Label1 ÔÇö "Usu├írio :" |
| `txt_4c_Usuars` | TextBox | getUsuars ÔÇö Width=80, MaxLength=10 |
| `lbl_4c_LblPeriodo` | Label | Label9 ÔÇö "Per├¡odo :" |
| `txt_4c_Mess` | TextBox | getMess ÔÇö InputMask="99" |
| `lbl_4c_BarraPer` | Label | Label10 ÔÇö "/" separador |
| `txt_4c_Anos` | TextBox | getAnos ÔÇö InputMask="9999" |
| `lbl_4c_Tipo` | Label | Label2 ÔÇö "Tipo :" |
| `txt_4c_Indivs` | TextBox | getIndivs ÔÇö InputMask="!" |
| `lbl_4c_AjudaTipo` | Label | Label7 ÔÇö "(I)ndividual, (R)espons├ível, (S)etor" |
| `lbl_4c_LblSetor` | Label | Label3 ÔÇö "Setor :" |

Todos com compensa├º├úo `Top + 29` do PageFrame, `ForeColor=RGB(36,84,155)`, `FontName=Verdana/8` conforme o legado. Fase 6 adicionar├í os 10 controles restantes (Setor TextBox, Respons├ível, Adicional, %, M├¡nimo, Experi├¬ncia).
