Arquivo correto e completo. Fase 5/8 conclu├¡da.

**O que foi adicionado em `ConfigurarPaginaDados()`** (antes de `TornarControlesVisiveis`):

| Controle | Top (comp +29) | Descri├º├úo |
|---|---|---|
| `lbl_4c_Label1` | 41 | "C├│digo : " |
| `txt_4c_Codigo` | 37 | C├│digo do feitio, MaxLength=4 |
| `lbl_4c_Label2` | 41 | "Descri├º├úo : " |
| `txt_4c_Descricao` | 37 | Descri├º├úo, MaxLength=30 |
| `lbl_4c_Label3` | 66 | "Valor do Feitio : " |
| `txt_4c_Valor` | 63 | InputMask num├®rico |
| `opt_4c_TpFtio` | 62 | 3 bot├Áes: Por Feitio / Por Peso / Sem Feitio |
| `lbl_4c_Label4` | 93 | "Moeda : " |
| `txt_4c_CdMoeda` | 89 | C├│digo moeda, LostFocus ÔåÆ ValidarCdMoeda |
| `txt_4c_DsMoeda` | 89 | Descri├º├úo moeda, LostFocus ÔåÆ ValidarDsMoeda |
| `lbl_4c_Label5` | 93 | "Multiplicador : " |
| `txt_4c_Acrescimo` | 89 | InputMask "999.9999" |
| `lbl_4c_Label12` | 43 | "sem uso :" (Visible=.F.) |
| `txt_4c_Lucro` | 39 | Hidden (Visible=.F.) |

**3 novos m├®todos** adicionados: `TpFtioChanged`, `ValidarCdMoeda`, `ValidarDsMoeda` ÔÇö todos com lookup completo em `SigCdMoe`. A Fase 6/8 adicionar├í a segunda metade (campos de faixa, OptionGroups restantes e labels correspondentes).
