`C:\4c\projeto\app\classes\Gr1BO.prg` criado com sucesso. Fase 1 completa.

**Propriedades declaradas:**

| Propriedade | Tipo | Origem |
|---|---|---|
| `this_cTabela` | char | SigCdGrA (tabela principal) |
| `this_cCampoChave` | char | grupos (PK) |
| `this_cUsuarios` | char | SigCdUsu.usuarios ÔÇö c├│digo do usu├írio |
| `this_cNComps` | char | SigCdUsu.ncomps ÔÇö nome do usu├írio |
| `this_cGrupos` | char | SigCdGrA.grupos ÔÇö novo grupo |
| `this_cGrupoNComps` | char | SigCdGrA.ncomps ÔÇö descri├º├úo do grupo |
| `this_cCursorAcessos` | char | alias do cursor do grid (crSigCdAcUs) |
| `this_cCursorBarra` | char | alias do cursor de barras (crTmpBarra) |

**Init()** configura `this_cTabela`/`this_cCampoChave` e chama `DODEFAULT()`. **ObterChavePrimaria()** retorna `this_cGrupos` para o sistema de auditoria. A Fase 2 adicionar├í os m├®todos completos (BuscarAcessosUsuario, ValidarGrupoExistente, BuscarUsuario, SalvarGrupo, RemoverAcesso).
