All fixes look correct. Here's a summary of all 11 edits applied to `FormProduto.prg`:

| # | Location | Fix |
|---|----------|-----|
| 1 | `AbrirBuscaMoeda` (~6972) | CMOEDS  collapsed `WHERE cmoeds LIKE` + fallback  single `SELECT  FROM SigCdMoe ORDER BY cmoeds` |
| 2 | `GrdFaseCol4UniPrdtValid` (~8424) | UNIPRDTS  removed `AND uniprdts = val` from WHERE; added `LOCATE FOR ALLTRIM(...) == ALLTRIM(loc_cValAtual)` after load |
| 3a | `ValidarConquilhaFaseP` (~8782) | CONQUILHAS validation  replaced `WHERE conquilhas = val` with full `SELECT DISTINCT  ORDER BY` + LOCATE |
| 3b | `ValidarConquilhaFaseP` (~8795) | CONQUILHAS lookup  collapsed `WHERE conquilhas LIKE` + fallback  single full-table query |
| 4a | `ValidarDclfiscal` (~9319) | DESCRICAOS  removed `WHERE descricaos LIKE`; full table + `LOCATE FOR LIKE(UPPER)` before the IF |
| 4b | `ValidarDorigmerc` (~9427) | DESCRICAOS  same pattern for SIGCDORG |
| 4c | `ValidarDsittricm` (~9536) | DESCRICAOS  same pattern for SIGCDICM |
| 5a | `ValidarDesLacto` (~11014) | CATIVOS  removed `AND cativos <> 'N'` from `WHERE usuarios = val` |
| 5b | `AbrirBuscaDesLacto` (~11049) | CATIVOS  collapsed `WHERE cativos <> 'N' AND usuarios LIKE` + fallback  `SELECT  FROM SigCdUsu ORDER BY usuarios` |
| 5c | `ValidarCriaLacto` (~11100) | CATIVOS  removed `AND cativos <> 'N'` from `WHERE usuarios = val` |
| 5d | `AbrirBuscaCriaLacto` (~11135) | CATIVOS  collapsed `WHERE cativos <> 'N' AND usuarios LIKE` + fallback  `SELECT  FROM SigCdUsu ORDER BY usuarios` |
